IP_Member,Name_Pool ,Name_Monitor
192.168.3.203:8912,/Common/pool_AnychatServer_8912,/Common/tcp
192.168.3.204:8912,/Common/pool_AnychatServer_8912,/Common/tcp
192.168.3.203:18080,/Common/pool_AnychatServer_18080,/Common/tcp
192.168.3.204:18080,/Common/pool_AnychatServer_18080,/Common/tcp
192.168.3.172:8080,/Common/pool_DianZiHeTong_8080,/Common/tcp
192.168.3.173:8080,/Common/pool_DianZiHeTong_8080,/Common/tcp
192.168.3.194:11212,/Common/pool_EDMS_GAPS_11212,/Common/agent_mon_tcp_10000
192.168.3.195:11212,/Common/pool_EDMS_GAPS_11212,/Common/agent_mon_tcp_10000
192.168.3.238:18127,/Common/pool_ShouDan_18127,/Common/tcp
192.168.3.239:18127,/Common/pool_ShouDan_18127,/Common/tcp
192.168.3.238:18128,/Common/pool_ShouDan_18128,/Common/tcp
192.168.3.239:18128,/Common/pool_ShouDan_18128,/Common/tcp
192.168.3.238:29001,/Common/pool_ShouDan_29001,/Common/tcp
192.168.3.239:29001,/Common/pool_ShouDan_29001,/Common/tcp
192.168.3.238:29003,/Common/pool_ShouDan_29003,/Common/tcp
192.168.3.239:29003,/Common/pool_ShouDan_29003,/Common/tcp
192.168.3.238:29004,/Common/pool_ShouDan_29004,/Common/tcp
192.168.3.239:29004,/Common/pool_ShouDan_29004,/Common/tcp
192.168.3.238:29008,/Common/pool_ShouDan_29008,/Common/tcp
192.168.3.239:29008,/Common/pool_ShouDan_29008,/Common/tcp
192.168.3.145:9080,/Common/pool_cmrwm_9080,/Common/tcp
192.168.3.146:9080,/Common/pool_cmrwm_9080,/Common/tcp
192.168.3.84:11212,/Common/pool_cmsapp_11212,/Common/tcp
192.168.3.85:11212,/Common/pool_cmsapp_11212,/Common/tcp
192.168.3.84:63000,/Common/pool_cmsapp_63000,/Common/tcp
192.168.3.85:63000,/Common/pool_cmsapp_63000,/Common/tcp
192.168.3.84:60007,/Common/pool_cmsapp_60007,/Common/tcp
192.168.3.85:60007,/Common/pool_cmsapp_60007,/Common/tcp
192.168.3.84:60008,/Common/pool_cmsapp_60008,/Common/tcp
192.168.3.85:60008,/Common/pool_cmsapp_60008,/Common/tcp
192.168.3.84:60009,/Common/pool_cmsapp_60009,/Common/tcp
192.168.3.85:60009,/Common/pool_cmsapp_60009,/Common/tcp
192.168.3.77:42001,/Common/pool_cz_gaps_42001,/Common/tcp
192.168.3.78:42001,/Common/pool_cz_gaps_42001,/Common/tcp
192.168.3.79:42001,/Common/pool_cz_gaps_42001,/Common/tcp
192.168.3.23:9081,/Common/pool_direct_app_9081,/Common/tcp
192.168.3.24:9081,/Common/pool_direct_app_9081,/Common/tcp
192.168.3.102:9080,/Common/pool_dzzhapp_9080,/Common/tcp
192.168.3.103:9080,/Common/pool_dzzhapp_9080,/Common/tcp
192.168.3.104:9080,/Common/pool_dzzhapp_9080,/Common/tcp
192.168.3.102:9081,/Common/pool_dzzhapp_9081,/Common/tcp
192.168.3.103:9081,/Common/pool_dzzhapp_9081,/Common/tcp
192.168.3.104:9081,/Common/pool_dzzhapp_9081,/Common/tcp
192.168.3.102:9082,/Common/pool_dzzhapp_9082,/Common/tcp
192.168.3.103:9082,/Common/pool_dzzhapp_9082,/Common/tcp
192.168.3.104:9082,/Common/pool_dzzhapp_9082,/Common/tcp
192.168.3.102:9083,/Common/pool_dzzhapp_9083,/Common/tcp
192.168.3.103:9083,/Common/pool_dzzhapp_9083,/Common/tcp
192.168.3.104:9083,/Common/pool_dzzhapp_9083,/Common/tcp
192.168.3.102:38090,/Common/pool_dzzhapp_38090,/Common/tcp
192.168.3.103:38090,/Common/pool_dzzhapp_38090,/Common/tcp
192.168.3.104:38090,/Common/pool_dzzhapp_38090,/Common/tcp
192.168.3.224:8080,/Common/pool_eidapp_8080,/Common/tcp
192.168.3.225:8080,/Common/pool_eidapp_8080,/Common/tcp
192.168.3.228:8080,/Common/pool_eidface_8080,/Common/tcp
192.168.3.229:8080,/Common/pool_eidface_8080,/Common/tcp
192.168.3.21:9080,/Common/pool_epay_9080,/Common/tcp
192.168.3.22:9080,/Common/pool_epay_9080,/Common/tcp
192.168.3.38:11212,/Common/pool_gxp_11212,/Common/tcp
192.168.3.39:11212,/Common/pool_gxp_11212,/Common/tcp
192.168.3.98:11212,/Common/pool_gxp_11212,/Common/tcp
192.168.3.99:11212,/Common/pool_gxp_11212,/Common/tcp
192.168.3.38:11217,/Common/pool_gxp_11217,/Common/agent_mon_tcp_10000
192.168.3.39:11217,/Common/pool_gxp_11217,/Common/agent_mon_tcp_10000
192.168.3.98:11217,/Common/pool_gxp_11217,/Common/agent_mon_tcp_10000
192.168.3.99:11217,/Common/pool_gxp_11217,/Common/agent_mon_tcp_10000
192.168.3.38:42001,/Common/pool_gxp_42001,/Common/tcp
192.168.3.39:42001,/Common/pool_gxp_42001,/Common/tcp
192.168.3.98:42001,/Common/pool_gxp_42001,/Common/tcp
192.168.3.99:42001,/Common/pool_gxp_42001,/Common/tcp
192.168.3.38:21,/Common/pool_gxp_FTP,/Common/tcp
192.168.3.39:21,/Common/pool_gxp_FTP,/Common/tcp
192.168.3.98:21,/Common/pool_gxp_FTP,/Common/tcp
