IP_Member,Name_Pool ,Name_Monitor,Name_Virture,Destination,Protocol,Profiles
/Common/192.168.3.203:8912,/Common/pool_AnychatServer_8912,/Common/monitor_tcp_8080,/Common/vs_AnychatServer_8912,/Common/192.168.3.205:8912,tcp,/Common/tcp
/Common/192.168.3.203:8912,/Common/pool_AnychatServer_8912,/Common/monitor_tcp_8080,/Common/vs_AnychatServer_udp_8912,/Common/192.168.3.205:8912,udp,/Common/udp
/Common/192.168.3.204:8912,/Common/pool_AnychatServer_8912,/Common/monitor_tcp_8080,/Common/vs_AnychatServer_8912,/Common/192.168.3.205:8912,tcp,/Common/tcp
/Common/192.168.3.204:8912,/Common/pool_AnychatServer_8912,/Common/monitor_tcp_8080,/Common/vs_AnychatServer_udp_8912,/Common/192.168.3.205:8912,udp,/Common/udp
/Common/192.168.3.203:18080,/Common/pool_AnychatServer_18080,/Common/tcp,/Common/vs_AnychatServer_18080,/Common/192.168.3.205:18080,tcp,/Common/tcp
/Common/192.168.3.204:18080,/Common/pool_AnychatServer_18080,/Common/tcp,/Common/vs_AnychatServer_18080,/Common/192.168.3.205:18080,tcp,/Common/tcp
/Common/192.168.3.172:8080,/Common/pool_DianZiHeTong_8080,/Common/tcp,/Common/vs_DianZiHeTong_8080,/Common/192.168.3.174:8080,tcp,/Common/tcp
/Common/192.168.3.173:8080,/Common/pool_DianZiHeTong_8080,/Common/tcp,/Common/vs_DianZiHeTong_8080,/Common/192.168.3.174:8080,tcp,/Common/tcp
/Common/192.168.3.194:11212,/Common/pool_EDMS_GAPS_11212,/Common/tcp,/Common/vs_EDMS_GAPS_11212,/Common/192.168.3.196:11212,tcp,/Common/tcp
/Common/192.168.3.195:11212,/Common/pool_EDMS_GAPS_11212,/Common/tcp,/Common/vs_EDMS_GAPS_11212,/Common/192.168.3.196:11212,tcp,/Common/tcp
/Common/192.168.3.238:18127,/Common/pool_ShouDan_18127,/Common/agent_mon_tcp_10000,/Common/vs_ShouDan_18127,/Common/192.168.3.246:18127,tcp,/Common/tcp
/Common/192.168.3.239:18127,/Common/pool_ShouDan_18127,/Common/agent_mon_tcp_10000,/Common/vs_ShouDan_18127,/Common/192.168.3.246:18127,tcp,/Common/tcp
/Common/192.168.3.238:18128,/Common/pool_ShouDan_18128,/Common/tcp,/Common/vs_ShouDan_18128,/Common/192.168.3.246:18128,tcp,/Common/tcp
/Common/192.168.3.239:18128,/Common/pool_ShouDan_18128,/Common/tcp,/Common/vs_ShouDan_18128,/Common/192.168.3.246:18128,tcp,/Common/tcp
/Common/192.168.3.238:29001,/Common/pool_ShouDan_29001,/Common/tcp,/Common/vs_ShouDan_29001,/Common/192.168.3.246:29001,tcp,/Common/tcp
/Common/192.168.3.239:29001,/Common/pool_ShouDan_29001,/Common/tcp,/Common/vs_ShouDan_29001,/Common/192.168.3.246:29001,tcp,/Common/tcp
/Common/192.168.3.238:29003,/Common/pool_ShouDan_29003,/Common/tcp,/Common/vs_ShouDan_29003,/Common/192.168.3.246:29003,tcp,/Common/tcp
/Common/192.168.3.239:29003,/Common/pool_ShouDan_29003,/Common/tcp,/Common/vs_ShouDan_29003,/Common/192.168.3.246:29003,tcp,/Common/tcp
/Common/192.168.3.238:29004,/Common/pool_ShouDan_29004,/Common/tcp,/Common/vs_ShouDan_29004,/Common/192.168.3.246:29004,tcp,/Common/tcp
/Common/192.168.3.239:29004,/Common/pool_ShouDan_29004,/Common/tcp,/Common/vs_ShouDan_29004,/Common/192.168.3.246:29004,tcp,/Common/tcp
/Common/192.168.3.238:29008,/Common/pool_ShouDan_29008,/Common/tcp,/Common/vs_ShouDan_29008,/Common/192.168.3.246:29008,tcp,/Common/tcp
/Common/192.168.3.239:29008,/Common/pool_ShouDan_29008,/Common/tcp,/Common/vs_ShouDan_29008,/Common/192.168.3.246:29008,tcp,/Common/tcp
/Common/192.168.3.145:9080,/Common/pool_cmrwm_9080,/Common/tcp,/Common/vs_cmrwm_9080,/Common/192.168.3.147:9080,tcp,/Common/tcp
/Common/192.168.3.146:9080,/Common/pool_cmrwm_9080,/Common/tcp,/Common/vs_cmrwm_9080,/Common/192.168.3.147:9080,tcp,/Common/tcp
/Common/192.168.3.84:11212,/Common/pool_cmsapp_11212,/Common/tcp,/Common/vs_cmsapp_11212,/Common/192.168.3.86:11212,tcp,/Common/tcp
/Common/192.168.3.85:11212,/Common/pool_cmsapp_11212,/Common/tcp,/Common/vs_cmsapp_11212,/Common/192.168.3.86:11212,tcp,/Common/tcp
/Common/192.168.3.84:63000,/Common/pool_cmsapp_63000,/Common/tcp,/Common/vs_cmsapp_63000,/Common/192.168.3.86:63000,tcp,/Common/tcp
/Common/192.168.3.85:63000,/Common/pool_cmsapp_63000,/Common/tcp,/Common/vs_cmsapp_63000,/Common/192.168.3.86:63000,tcp,/Common/tcp
/Common/192.168.3.84:60007,/Common/pool_cmsapp_60007,/Common/tcp,/Common/vs_cmsapp_60007,/Common/192.168.3.86:60007,tcp,/Common/tcp
/Common/192.168.3.85:60007,/Common/pool_cmsapp_60007,/Common/tcp,/Common/vs_cmsapp_60007,/Common/192.168.3.86:60007,tcp,/Common/tcp
/Common/192.168.3.84:60008,/Common/pool_cmsapp_60008,/Common/tcp,/Common/vs_cmsapp_60008,/Common/192.168.3.86:60008,tcp,/Common/tcp
/Common/192.168.3.85:60008,/Common/pool_cmsapp_60008,/Common/tcp,/Common/vs_cmsapp_60008,/Common/192.168.3.86:60008,tcp,/Common/tcp
