IP_Member,Name_Pool ,Name_Monitor
10.5.0.11:9082,/Common/pool_SunECMConsole_9082,/Common/tcp
10.5.0.12:9082,/Common/pool_SunECMConsole_9082,/Common/tcp
10.5.0.11:9080,/Common/pool_SunIAS_9080,/Common/tcp
10.5.0.12:9080,/Common/pool_SunIAS_9080,/Common/tcp
10.5.0.11:9083,/Common/pool_SunUSIT_9083,/Common/tcp
10.5.0.12:9083,/Common/pool_SunUSIT_9083,/Common/tcp
10.5.0.11:8021,/Common/pool_UnityAccess_8021,/Common/tcp
10.5.0.12:8021,/Common/pool_UnityAccess_8021,/Common/tcp
10.5.0.11:9081,/Common/pool_UnityAccess_9081,/Common/tcp
10.5.0.12:9081,/Common/pool_UnityAccess_9081,/Common/tcp
10.8.19.25:9927,/Common/pool_YunGuiTai_CF5_9927,/Common/tcp
10.8.19.26:9927,/Common/pool_YunGuiTai_CF5_9927,/Common/tcp
10.8.19.19:8905,/Common/pool_YunGuiTai_EXF5_8905,/Common/tcp
10.8.19.20:8905,/Common/pool_YunGuiTai_EXF5_8905,/Common/tcp
10.8.19.19:8902,/Common/pool_YunGuiTai_EXF5_UDP_8902,/Common/udp
10.8.19.20:8902,/Common/pool_YunGuiTai_EXF5_UDP_8902,/Common/udp
10.8.19.22:8905,/Common/pool_YunGuiTai_INF5_8905,/Common/tcp
10.8.19.23:8905,/Common/pool_YunGuiTai_INF5_8905,/Common/tcp
10.8.19.22:8902,/Common/pool_YunGuiTai_INF5_UDP_8902,/Common/udp
10.8.19.23:8902,/Common/pool_YunGuiTai_INF5_UDP_8902,/Common/udp
10.8.19.12:1122,/Common/pool_YunGuiTai_MF5_1122,/Common/tcp
10.8.19.13:1122,/Common/pool_YunGuiTai_MF5_1122,/Common/tcp
10.8.19.12:4445,/Common/pool_YunGuiTai_MF5_4445,/Common/tcp
10.8.19.13:4445,/Common/pool_YunGuiTai_MF5_4445,/Common/tcp
10.8.19.12:4446,/Common/pool_YunGuiTai_MF5_4446,/Common/tcp
10.8.19.13:4446,/Common/pool_YunGuiTai_MF5_4446,/Common/tcp
10.8.19.12:5566,/Common/pool_YunGuiTai_MF5_5566,/Common/tcp
10.8.19.13:5566,/Common/pool_YunGuiTai_MF5_5566,/Common/tcp
10.8.19.12:8080,/Common/pool_YunGuiTai_MF5_8080,/Common/tcp
10.8.19.13:8080,/Common/pool_YunGuiTai_MF5_8080,/Common/tcp
10.8.19.15:9043,/Common/pool_YunGuiTai_VF5_9043,/Common/tcp
10.8.19.16:9043,/Common/pool_YunGuiTai_VF5_9043,/Common/tcp
10.8.19.15:9044,/Common/pool_YunGuiTai_VF5_9044,/Common/tcp
10.8.19.16:9044,/Common/pool_YunGuiTai_VF5_9044,/Common/tcp
10.8.19.15:9060,/Common/pool_YunGuiTai_VF5_9060,/Common/tcp
10.8.19.16:9060,/Common/pool_YunGuiTai_VF5_9060,/Common/tcp
10.8.19.15:9080,/Common/pool_YunGuiTai_VF5_9080,/Common/tcp
10.8.19.16:9080,/Common/pool_YunGuiTai_VF5_9080,/Common/tcp
