IP_Member,Name_Pool ,Name_Monitor,Name_Virture,Destination,Protocol,Profiles
/Common/10.5.0.11:9082,/Common/pool_SunECMConsole_9082,/Common/tcp,/Common/vs_SunECMConsole_9082,/Common/10.5.0.13:9082,tcp,/Common/tcp
/Common/10.5.0.12:9082,/Common/pool_SunECMConsole_9082,/Common/tcp,/Common/vs_SunECMConsole_9082,/Common/10.5.0.13:9082,tcp,/Common/tcp
/Common/10.5.0.11:9080,/Common/pool_SunIAS_9080,/Common/tcp,/Common/vs_SunIAS_9080,/Common/10.5.0.13:9080,tcp,/Common/tcp
/Common/10.5.0.12:9080,/Common/pool_SunIAS_9080,/Common/tcp,/Common/vs_SunIAS_9080,/Common/10.5.0.13:9080,tcp,/Common/tcp
/Common/10.5.0.11:9083,/Common/pool_SunUSIT_9083,/Common/tcp,/Common/vs_SunUSIT_9083,/Common/10.5.0.13:9083,tcp,/Common/tcp
/Common/10.5.0.12:9083,/Common/pool_SunUSIT_9083,/Common/tcp,/Common/vs_SunUSIT_9083,/Common/10.5.0.13:9083,tcp,/Common/tcp
/Common/10.5.0.11:8021,/Common/pool_UnityAccess_8021,/Common/tcp,/Common/vs_UnityAccess_8021,/Common/10.5.0.13:8021,tcp,/Common/tcp
/Common/10.5.0.12:8021,/Common/pool_UnityAccess_8021,/Common/tcp,/Common/vs_UnityAccess_8021,/Common/10.5.0.13:8021,tcp,/Common/tcp
/Common/10.5.0.11:9081,/Common/pool_UnityAccess_9081,/Common/tcp,/Common/vs_UnityAccess_9081,/Common/10.5.0.13:9081,tcp,/Common/tcp
/Common/10.5.0.12:9081,/Common/pool_UnityAccess_9081,/Common/tcp,/Common/vs_UnityAccess_9081,/Common/10.5.0.13:9081,tcp,/Common/tcp
/Common/10.8.19.25:9927,/Common/pool_YunGuiTai_CF5_9927,/Common/tcp,/Common/VS_YunGuiTai_CF5_9927,/Common/10.8.19.24:9927,tcp,/Common/tcp
/Common/10.8.19.26:9927,/Common/pool_YunGuiTai_CF5_9927,/Common/tcp,/Common/VS_YunGuiTai_CF5_9927,/Common/10.8.19.24:9927,tcp,/Common/tcp
/Common/10.8.19.19:8905,/Common/pool_YunGuiTai_EXF5_8905,/Common/tcp,/Common/VS_YunGuiTai_EXF5_8905,/Common/10.8.19.18:8905,tcp,/Common/tcp
