IP_Member,Name_Pool ,Name_Monitor
113.78.190.129:0,/Common/Pool_CT2,/Common/gateway_icmp
120.86.125.94:0,/Common/Pool_duizhang_gw,/Common/gateway_icmp
218.16.101.65:0,/Common/Pool_duizhang_gw,/Common/gateway_icmp
192.168.4.20:443,/Common/Pool_yidongfuwupingtai_web,/Common/tcp
192.168.2.87:8912,/Common/pool_Anychat_8912,/Common/tcp
192.168.2.87:8912,/Common/pool_Anychat_8912_UDP,/Common/udp
113.78.190.129:0,/Common/pool_CT2_CU2,/Common/gateway_icmp
120.86.189.62:0,/Common/pool_CT2_CU2,/Common/gateway_icmp
183.233.217.1:0,/Common/pool_CT2_CU2,/Common/gateway_icmp
192.168.4.23:0,/Common/pool_SAP
192.168.2.11:18080,/Common/pool_TYJK_18080,/Common/tcp
192.168.2.12:18080,/Common/pool_TYJK_18080,/Common/tcp
192.168.2.93:18080,/Common/pool_TYJK_18080,/Common/tcp
192.168.2.11:20018,/Common/pool_TYJK_20018,/Common/tcp
192.168.2.12:20018,/Common/pool_TYJK_20018,/Common/tcp
192.168.2.93:20018,/Common/pool_TYJK_20018,/Common/tcp
192.168.4.16:8080,/Common/pool_card,/Common/monitor_tcp_8080
192.168.4.17:8080,/Common/pool_card,/Common/monitor_tcp_8080
183.233.217.1:0,/Common/pool_cm,/Common/gateway_icmp
192.168.2.64:8080,/Common/pool_csapp,/Common/tcp
120.86.125.94:0,/Common/pool_ct,/Common/gateway_icmp
183.233.217.1:0,/Common/pool_ct,/Common/gateway_icmp
218.16.101.65:0,/Common/pool_ct,/Common/gateway_icmp
218.16.101.65:0,/Common/pool_ct1,/Common/gateway_icmp
120.86.125.94:0,/Common/pool_cu,/Common/gateway_icmp
183.233.217.1:0,/Common/pool_cu,/Common/gateway_icmp
218.16.101.65:0,/Common/pool_cu,/Common/gateway_icmp
120.86.125.94:0,/Common/pool_cu1,/Common/gateway_icmp
113.78.190.129:0,/Common/pool_default_gateway,/Common/gateway_icmp
120.86.125.94:0,/Common/pool_default_gateway,/Common/gateway_icmp
120.86.189.62:0,/Common/pool_default_gateway,/Common/gateway_icmp
183.233.217.1:0,/Common/pool_default_gateway,/Common/gateway_icmp
211.139.128.33:0,/Common/pool_default_gateway,/Common/gateway_icmp
218.16.101.65:0,/Common/pool_default_gateway,/Common/gateway_icmp
2408:8656:d0ff:f002::1.0,/Common/pool_default_gateway_ipv6,/Common/gateway_icmp
2409:8754:d10a::1.0,/Common/pool_default_gateway_ipv6,/Common/gateway_icmp
240e:6b2:10::1.0,/Common/pool_default_gateway_ipv6,/Common/gateway_icmp
192.168.4.22:8080,/Common/pool_download,/Common/tcp
192.168.2.11:9080,/Common/pool_dw,/Common/tcp
192.168.2.12:9080,/Common/pool_dw,/Common/tcp
192.168.2.93:9080,/Common/pool_dw,/Common/tcp
192.168.5.27:9080,/Common/pool_dw,/Common/tcp
192.168.5.27:9443,/Common/pool_dw,/Common/tcp
192.168.2.55:9080,/Common/pool_dw_app,/Common/tcp
192.168.2.36:60042,/Common/pool_edms_60042,/Common/tcp
192.168.2.34:60003,/Common/pool_gxp_60003,/Common/tcp
192.168.2.36:60003,/Common/pool_gxp_60003,/Common/tcp
192.168.2.36:60014,/Common/pool_gxp_60014,/Common/tcp
192.168.2.36:60017,/Common/pool_gxp_60017,/Common/tcp
192.168.2.36:60021,/Common/pool_gxp_60021,/Common/tcp
192.168.2.11:60033,/Common/pool_gxp_60033,/Common/tcp
192.168.2.12:60033,/Common/pool_gxp_60033,/Common/tcp
192.168.2.36:60033,/Common/pool_gxp_60033,/Common/tcp
192.168.2.93:60033,/Common/pool_gxp_60033,/Common/tcp
192.168.2.11:60034,/Common/pool_gxp_60034,/Common/tcp
192.168.2.12:60034,/Common/pool_gxp_60034,/Common/tcp
192.168.2.36:60034,/Common/pool_gxp_60034,/Common/tcp
192.168.2.93:60034,/Common/pool_gxp_60034,/Common/tcp
192.168.4.3:143,/Common/pool_imap,/Common/monitor_imap
192.168.4.105:80,/Common/pool_itsm_HTTP,/Common/monitor_tcp_80
192.168.4.16:8080,/Common/pool_m,/Common/monitor_tcp_8080
192.168.4.16:8081,/Common/pool_m,/Common/monitor_tcp_8080
192.168.4.17:8080,/Common/pool_m,/Common/monitor_tcp_8080
192.168.4.17:8081,/Common/pool_m,/Common/monitor_tcp_8080
192.168.4.43:5222,/Common/pool_newOA_5222,/Common/tcp
192.168.4.43:8083,/Common/pool_newOA_5222,/Common/tcp
192.168.4.44:5222,/Common/pool_newOA_5222,/Common/tcp
192.168.4.44:8083,/Common/pool_newOA_5222,/Common/tcp
192.168.4.43:7070,/Common/pool_newOA_7070,/Common/tcp
192.168.4.44:7070,/Common/pool_newOA_7070,/Common/tcp
192.168.4.43:9089,/Common/pool_newOA_9089,/Common/tcp
192.168.4.44:9089,/Common/pool_newOA_9089,/Common/tcp
192.168.4.43:5222,/Common/pool_newOA_udp_5222,/Common/udp
192.168.4.44:5222,/Common/pool_newOA_udp_5222,/Common/udp
192.168.4.43:8080,/Common/pool_newOA_web,/Common/tcp
192.168.4.44:8080,/Common/pool_newOA_web,/Common/tcp
192.168.2.71:5222,/Common/pool_openfile_5222,/Common/tcp
192.168.4.3:110,/Common/pool_pop3,/Common/monitor_tcp_110
192.168.2.84:8080,/Common/pool_posfs_8080,/Common/tcp
120.86.125.94:0,/Common/pool_ra_out_ctcu,/Common/gateway_icmp
218.16.101.65:0,/Common/pool_ra_out_ctcu,/Common/gateway_icmp
192.168.4.36:8443,/Common/pool_remedywx_8443,/Common/tcp
192.168.4.36:9080,/Common/pool_remedywx_9080,/Common/tcp
192.168.4.37:9080,/Common/pool_remedywxpro_9080,/Common/tcp
192.168.2.2:9081,/Common/pool_remedywxpro_9081,/Common/tcp
192.168.4.37:9081,/Common/pool_remedywxpro_9081,/Common/tcp
192.168.4.3:25,/Common/pool_smtp,/Common/monitor_tcp_25
192.168.2.11:443,/Common/pool_ssl,/Common/monitor_ssl
192.168.2.12:443,/Common/pool_ssl,/Common/monitor_ssl
192.168.2.93:443,/Common/pool_ssl,/Common/monitor_ssl
192.168.2.11:8080,/Common/pool_ssl_basic,/Common/monitor_ssl_basic
192.168.2.12:8080,/Common/pool_ssl_basic,/Common/monitor_ssl_basic
192.168.2.93:8080,/Common/pool_ssl_basic,/Common/monitor_ssl_basic
192.168.2.11:9441,/Common/pool_ssl_card_9441,/Common/tcp
192.168.2.12:9441,/Common/pool_ssl_card_9441,/Common/tcp
192.168.2.93:9441,/Common/pool_ssl_card_9441,/Common/tcp
192.168.2.11:1288,/Common/pool_ssl_cmrwm,/Common/tcp
192.168.2.12:1288,/Common/pool_ssl_cmrwm,/Common/tcp
192.168.2.93:1288,/Common/pool_ssl_cmrwm,/Common/tcp
192.168.2.11:1443,/Common/pool_ssl_direct,/Common/monitor_tcp_5443
192.168.2.11:5443,/Common/pool_ssl_direct,/Common/monitor_tcp_5443
192.168.2.12:1443,/Common/pool_ssl_direct,/Common/monitor_tcp_5443
192.168.2.12:5443,/Common/pool_ssl_direct,/Common/monitor_tcp_5443
192.168.2.93:5443,/Common/pool_ssl_direct,/Common/monitor_tcp_5443
192.168.2.11:9080,/Common/pool_ssl_dw,/Common/tcp
192.168.2.12:9080,/Common/pool_ssl_dw,/Common/tcp
192.168.2.93:9080,/Common/pool_ssl_dw,/Common/tcp
192.168.2.11:8082,/Common/pool_ssl_eba,/Common/tcp
192.168.2.12:8082,/Common/pool_ssl_eba,/Common/tcp
192.168.2.93:8082,/Common/pool_ssl_eba,/Common/tcp
192.168.2.11:8081,/Common/pool_ssl_ebank_8081,/Common/tcp
192.168.2.12:8081,/Common/pool_ssl_ebank_8081,/Common/tcp
192.168.2.93:8081,/Common/pool_ssl_ebank_8081,/Common/tcp
192.168.2.11:9082,/Common/pool_ssl_eid,/Common/monitor_tcp_9082
192.168.2.12:9082,/Common/pool_ssl_eid,/Common/monitor_tcp_9082
192.168.2.93:9082,/Common/pool_ssl_eid,/Common/monitor_tcp_9082
192.168.2.11:777,/Common/pool_ssl_epay,/Common/monitor_tcp_777
192.168.2.12:777,/Common/pool_ssl_epay,/Common/monitor_tcp_777
192.168.2.93:777,/Common/pool_ssl_epay,/Common/monitor_tcp_777
192.168.2.11:9440,/Common/pool_ssl_hdc_9440,/Common/tcp
