IP_Member,Name_Pool ,Name_Monitor,Name_Virture,Destination,Protocol,Profiles
/Common/11.8.11.18:8066,/Common/pool_IAMMYCAT_8066,/Common/tcp,/Common/vs_IAMMYCAT_8066,/Common/11.8.11.30:8066,tcp,/Common/tcp
/Common/11.8.11.19:8066,/Common/pool_IAMMYCAT_8066,/Common/tcp,/Common/vs_IAMMYCAT_8066,/Common/11.8.11.30:8066,tcp,/Common/tcp
/Common/11.8.11.24:9081,/Common/pool_IAM_9081,/Common/tcp,/Common/vs_IAM_9081,/Common/11.8.11.28:9081,tcp,/Common/http
/Common/11.8.11.25:9081,/Common/pool_IAM_9081,/Common/tcp,/Common/vs_IAM_9081,/Common/11.8.11.28:9081,tcp,/Common/http
/Common/11.8.11.26:9082,/Common/pool_IAM_9082,/Common/tcp,/Common/vs_IAM_9082,/Common/11.8.11.29:9082,tcp,/Common/tcp
/Common/11.8.11.27:9082,/Common/pool_IAM_9082,/Common/tcp,/Common/vs_IAM_9082,/Common/11.8.11.29:9082,tcp,/Common/tcp
/Common/11.8.11.26:9083,/Common/pool_IAM_9083,/Common/tcp,/Common/vs_IAM_9083,/Common/11.8.11.29:9083,tcp,/Common/http
/Common/11.8.11.27:9083,/Common/pool_IAM_9083,/Common/tcp,/Common/vs_IAM_9083,/Common/11.8.11.29:9083,tcp,/Common/http
/Common/11.8.11.24:9084,/Common/pool_IAM_9084,/Common/tcp,/Common/vs_IAM_9084,/Common/11.8.11.28:9084,tcp,/Common/tcp
/Common/11.8.11.25:9084,/Common/pool_IAM_9084,/Common/tcp,/Common/vs_IAM_9084,/Common/11.8.11.28:9084,tcp,/Common/tcp
/Common/11.8.11.24:9085,/Common/pool_IAM_9085,/Common/tcp,/Common/vs_IAM_9085,/Common/11.8.11.28:9085,tcp,/Common/tcp
/Common/11.8.11.25:9085,/Common/pool_IAM_9085,/Common/tcp,/Common/vs_IAM_9085,/Common/11.8.11.28:9085,tcp,/Common/tcp
/Common/11.8.11.142:8023,/Common/pool_PP_8023,/Common/tcp,/Common/vs_PP_8023,/Common/11.8.11.144:8023,tcp,/Common/tcp
/Common/11.8.11.143:8023,/Common/pool_PP_8023,/Common/tcp,/Common/vs_PP_8023,/Common/11.8.11.144:8023,tcp,/Common/tcp
/Common/11.8.11.142:9016,/Common/pool_PP_9016,/Common/tcp,/Common/vs_PP_9016,/Common/11.8.11.144:9016,tcp,/Common/tcp
/Common/11.8.11.143:9016,/Common/pool_PP_9016,/Common/tcp,/Common/vs_PP_9016,/Common/11.8.11.144:9016,tcp,/Common/tcp
/Common/11.8.11.142:15001,/Common/pool_PP_15001,/Common/tcp,/Common/vs_PP_15001,/Common/11.8.11.144:15001,tcp,/Common/tcp
/Common/11.8.11.143:15001,/Common/pool_PP_15001,/Common/tcp,/Common/vs_PP_15001,/Common/11.8.11.144:15001,tcp,/Common/tcp
/Common/11.8.11.145:9043,/Common/pool_PV_9043,/Common/tcp,/Common/vs_PV_9043,/Common/11.8.11.147:9043,tcp,/Common/tcp
/Common/11.8.11.146:9043,/Common/pool_PV_9043,/Common/tcp,/Common/vs_PV_9043,/Common/11.8.11.147:9043,tcp,/Common/tcp
/Common/11.8.11.145:9044,/Common/pool_PV_9044,/Common/tcp,/Common/vs_PV_9044,/Common/11.8.11.147:9044,tcp,/Common/tcp
/Common/11.8.11.146:9044,/Common/pool_PV_9044,/Common/tcp,/Common/vs_PV_9044,/Common/11.8.11.147:9044,tcp,/Common/tcp
/Common/11.8.11.145:9060,/Common/pool_PV_9060,/Common/tcp,/Common/vs_PV_9060,/Common/11.8.11.147:9060,tcp,/Common/tcp
/Common/11.8.11.146:9060,/Common/pool_PV_9060,/Common/tcp,/Common/vs_PV_9060,/Common/11.8.11.147:9060,tcp,/Common/tcp
/Common/11.8.11.145:9080,/Common/pool_PV_9080,/Common/tcp,/Common/vs_PV_9080,/Common/11.8.11.147:9080,tcp,/Common/tcp
/Common/11.8.11.146:9080,/Common/pool_PV_9080,/Common/tcp,/Common/vs_PV_9080,/Common/11.8.11.147:9080,tcp,/Common/tcp
/Common/11.8.11.167:9080,/Common/pool_QMFXAPP_9080,/Common/tcp,/Common/vs_QMFX_9080,/Common/11.8.11.169:9080,tcp,/Common/tcp
/Common/11.8.11.168:9080,/Common/pool_QMFXAPP_9080,/Common/tcp,/Common/vs_QMFX_9080,/Common/11.8.11.169:9080,tcp,/Common/tcp
/Common/11.8.11.140:8080,/Common/pool_SSWD_8080,/Common/tcp,/Common/vs-SSWD-8080,/Common/11.8.11.139:8080,tcp,/Common/tcp
/Common/11.8.11.141:8080,/Common/pool_SSWD_8080,/Common/tcp,/Common/vs-SSWD-8080,/Common/11.8.11.139:8080,tcp,/Common/tcp
/Common/11.8.11.162:9080,/Common/pool_TC_9080,/Common/tcp,/Common/vs_TC_80,/Common/11.8.11.161:80,tcp,/Common/tcp
/Common/11.8.11.162:9080,/Common/pool_TC_9080,/Common/tcp,/Common/vs_TC_9080,/Common/11.8.11.161:9080,tcp,/Common/tcp
/Common/11.8.11.163:9080,/Common/pool_TC_9080,/Common/tcp,/Common/vs_TC_80,/Common/11.8.11.161:80,tcp,/Common/tcp
/Common/11.8.11.163:9080,/Common/pool_TC_9080,/Common/tcp,/Common/vs_TC_9080,/Common/11.8.11.161:9080,tcp,/Common/tcp
/Common/10.7.1.27:9104,/Common/pool_TYJK_APP,/Common/tcp,/Common/vs_TYJK_APP,/Common/10.7.1.42:9104,tcp,/Common/tcp
/Common/10.7.1.28:9104,/Common/pool_TYJK_APP,/Common/tcp,/Common/vs_TYJK_APP,/Common/10.7.1.42:9104,tcp,/Common/tcp
/Common/10.7.1.29:9104,/Common/pool_TYJK_APP,/Common/tcp,/Common/vs_TYJK_APP,/Common/10.7.1.42:9104,tcp,/Common/tcp
/Common/10.7.1.17:9080,/Common/pool_TYJK_AWEB,/Common/tcp,/Common/vs_TYJK_AWEB,/Common/10.7.1.1:9080,tcp,/Common/tcp
/Common/10.7.1.2:9080,/Common/pool_TYJK_AWEB,/Common/tcp,/Common/vs_TYJK_AWEB,/Common/10.7.1.1:9080,tcp,/Common/tcp
/Common/10.7.1.37:8066,/Common/pool_TYJK_MYCAT,/Common/tcp,/Common/vs_TYJK_MYCAT,/Common/10.7.1.43:8066,tcp,/Common/tcp
/Common/10.7.1.38:8066,/Common/pool_TYJK_MYCAT,/Common/tcp,/Common/vs_TYJK_MYCAT,/Common/10.7.1.43:8066,tcp,/Common/tcp
/Common/10.7.1.25:9080,/Common/pool_TYJK_WEB,/Common/tcp,/Common/vs_TYJK_mWEB,/Common/10.7.1.41:9080,tcp,/Common/tcp
/Common/10.7.1.26:9080,/Common/pool_TYJK_WEB,/Common/tcp,/Common/vs_TYJK_mWEB,/Common/10.7.1.41:9080,tcp,/Common/tcp
/Common/11.8.11.188:9080,/Common/pool_TYSX_9080,/Common/tcp,/Common/vs_TYSX_9080,/Common/11.8.11.190:9080,tcp,/Common/tcp
/Common/11.8.11.189:9080,/Common/pool_TYSX_9080,/Common/tcp,/Common/vs_TYSX_9080,/Common/11.8.11.190:9080,tcp,/Common/tcp
/Common/11.8.11.188:9081,/Common/pool_TYSX_9081,/Common/http,/Common/vs_TYSX_9081,/Common/11.8.11.190:9081,tcp,/Common/tcp
/Common/11.8.11.189:9081,/Common/pool_TYSX_9081,/Common/http,/Common/vs_TYSX_9081,/Common/11.8.11.190:9081,tcp,/Common/tcp
/Common/11.8.11.197:9080,/Common/pool_WBSJAPP_9080,/Common/http,/Common/vs_WBSJAPP_9080,/Common/11.8.11.199:9080,tcp,/Common/tcp
/Common/11.8.11.198:9080,/Common/pool_WBSJAPP_9080,/Common/http,/Common/vs_WBSJAPP_9080,/Common/11.8.11.199:9080,tcp,/Common/tcp
/Common/11.8.11.200:9081,/Common/pool_WBSJYQ_9081,/Common/tcp,/Common/vs_WBSJYQ_9081,/Common/11.8.11.203:9081,tcp,/Common/tcp
/Common/11.8.11.201:9081,/Common/pool_WBSJYQ_9081,/Common/tcp,/Common/vs_WBSJYQ_9081,/Common/11.8.11.203:9081,tcp,/Common/tcp
/Common/11.8.11.202:9081,/Common/pool_WBSJYQ_9081,/Common/tcp,/Common/vs_WBSJYQ_9081,/Common/11.8.11.203:9081,tcp,/Common/tcp
/Common/11.8.11.154:9901,/Common/pool_YXJCESB_9901,/Common/tcp,/Common/vs-YXJCESB-9901,/Common/11.8.11.156:9901,tcp,/Common/tcp
/Common/11.8.11.155:9901,/Common/pool_YXJCESB_9901,/Common/tcp,/Common/vs-YXJCESB-9901,/Common/11.8.11.156:9901,tcp,/Common/tcp
/Common/11.8.11.151:9901,/Common/pool_YXJC_9901,/Common/tcp,/Common/vs-YXJC-9901,/Common/11.8.11.153:9901,tcp,/Common/X-Forwarded-For
/Common/11.8.11.152:9901,/Common/pool_YXJC_9901,/Common/tcp,/Common/vs-YXJC-9901,/Common/11.8.11.153:9901,tcp,/Common/X-Forwarded-For
/Common/11.8.11.174:9901,/Common/pool_YXJC_INT_9901,/Common/tcp,/Common/vs_YXJC_INT_9901,/Common/11.8.11.181:9901,tcp,/Common/tcp
/Common/11.8.11.175:9901,/Common/pool_YXJC_INT_9901,/Common/tcp,/Common/vs_YXJC_INT_9901,/Common/11.8.11.181:9901,tcp,/Common/tcp
/Common/11.8.11.172:9901,/Common/pool_YXJC_Login_9901,/Common/YXJC_monitor,/Common/vs_YXJC_Login_9901,/Common/11.8.11.180:9901,tcp,/Common/X-Forwarded-For
/Common/11.8.11.173:9901,/Common/pool_YXJC_Login_9901,/Common/YXJC_monitor,/Common/vs_YXJC_Login_9901,/Common/11.8.11.180:9901,tcp,/Common/X-Forwarded-For
/Common/11.8.11.134:9080,/Common/pool_amsesApp_9080,/Common/YXJC_monitor,/Common/vs-amsesApp-9080,/Common/11.8.11.133:9080,tcp,/Common/tcp
/Common/11.8.11.135:9080,/Common/pool_amsesApp_9080,/Common/YXJC_monitor,/Common/vs-amsesApp-9080,/Common/11.8.11.133:9080,tcp,/Common/tcp
/Common/11.8.8.197:9080,/Common/pool_blsapp,/Common/tcp,/Common/vs-blsapp-9080,/Common/11.8.8.196:9080,tcp,/Common/fasthttp
/Common/11.8.8.198:9080,/Common/pool_blsapp,/Common/tcp,/Common/vs-blsapp-9080,/Common/11.8.8.196:9080,tcp,/Common/fasthttp
/Common/11.8.11.162:9081,/Common/pool_clmsapp_9081,/Common/tcp,/Common/vs_clmsapp_9081,/Common/11.8.11.161:9081,tcp,/Common/tcp
/Common/11.8.11.163:9081,/Common/pool_clmsapp_9081,/Common/tcp,/Common/vs_clmsapp_9081,/Common/11.8.11.161:9081,tcp,/Common/tcp
/Common/11.8.8.222:9080,/Common/pool_crm_9080,/Common/tcp,/Common/vs-crm-9080,/Common/11.8.8.227:9080,tcp,/Common/http
/Common/11.8.8.49:9080,/Common/pool_crm_9080,/Common/tcp,/Common/vs-crm-9080,/Common/11.8.8.227:9080,tcp,/Common/http
/Common/11.8.11.33:9081,/Common/pool_crm_9081,/Common/monitor_crm,/Common/vs-crm-9081,/Common/11.8.8.227:9081,tcp,/Common/tcp
/Common/11.8.11.34:9081,/Common/pool_crm_9081,/Common/monitor_crm,/Common/vs-crm-9081,/Common/11.8.8.227:9081,tcp,/Common/tcp
/Common/11.8.8.222:9081,/Common/pool_crm_9081,/Common/monitor_crm,/Common/vs-crm-9081,/Common/11.8.8.227:9081,tcp,/Common/tcp
/Common/11.8.8.49:9081,/Common/pool_crm_9081,/Common/monitor_crm,/Common/vs-crm-9081,/Common/11.8.8.227:9081,tcp,/Common/tcp
/Common/11.8.11.52:18080,/Common/pool_dcs_18080,/Common/tcp,/Common/vs_dcs_18080,/Common/11.8.11.54:18080,tcp,/Common/tcp
/Common/11.8.11.53:18080,/Common/pool_dcs_18080,/Common/tcp,/Common/vs_dcs_18080,/Common/11.8.11.54:18080,tcp,/Common/tcp
/Common/11.8.11.131:9080,/Common/pool_edra_app_9080,/Common/tcp,/Common/vs_edra_app_9080,/Common/11.8.11.130:9080,tcp,/Common/tcp
/Common/11.8.11.132:9080,/Common/pool_edra_app_9080,/Common/tcp,/Common/vs_edra_app_9080,/Common/11.8.11.130:9080,tcp,/Common/tcp
/Common/11.8.8.203:9080,/Common/pool_frsapp_9080,/Common/tcp,/Common/vs_frsapp_9080,/Common/11.8.8.202:9080,tcp,/Common/http
/Common/11.8.8.204:9080,/Common/pool_frsapp_9080,/Common/tcp,/Common/vs_frsapp_9080,/Common/11.8.8.202:9080,tcp,/Common/http
/Common/11.8.8.205:9080,/Common/pool_frsapp_9080,/Common/tcp,/Common/vs_frsapp_9080,/Common/11.8.8.202:9080,tcp,/Common/http
/Common/11.8.8.180:5222,/Common/pool_hallm_5222,/Common/tcp,/Common/vs-hallm-5222,/Common/11.8.8.66:5222,tcp,/Common/tcp
/Common/11.8.8.181:5222,/Common/pool_hallm_5222,/Common/tcp,/Common/vs-hallm-5222,/Common/11.8.8.66:5222,tcp,/Common/tcp
/Common/11.8.8.180:8080,/Common/pool_hallm_8080,/Common/tcp,/Common/vs-hallm-8080,/Common/11.8.8.66:8080,tcp,/Common/tcp
/Common/11.8.8.181:8080,/Common/pool_hallm_8080,/Common/tcp,/Common/vs-hallm-8080,/Common/11.8.8.66:8080,tcp,/Common/tcp
/Common/11.8.8.238:80,/Common/pool_itsm_80,/Common/hallm_monitor,/Common/vs_itsm_80,/Common/11.8.8.241:80,tcp,/Common/tcp
/Common/11.8.8.239:80,/Common/pool_itsm_80,/Common/hallm_monitor,/Common/vs_itsm_80,/Common/11.8.8.241:80,tcp,/Common/tcp
/Common/11.8.11.36:9081,/Common/pool_mcrm_9081,/Common/tcp,/Common/vs-mcrm-9081,/Common/11.8.11.38:9081,tcp,/Common/tcp
/Common/11.8.11.37:9081,/Common/pool_mcrm_9081,/Common/tcp,/Common/vs-mcrm-9081,/Common/11.8.11.38:9081,tcp,/Common/tcp
/Common/11.8.8.28:9081,/Common/pool_mcrm_9081,/Common/tcp,/Common/vs-mcrm-9081,/Common/11.8.11.38:9081,tcp,/Common/tcp
/Common/11.8.8.28:9082,/Common/pool_mcrm_9081,/Common/tcp,/Common/vs-mcrm-9081,/Common/11.8.11.38:9081,tcp,/Common/tcp
/Common/11.8.8.234:9080,/Common/pool_oa_9080,/Common/tcp,/Common/vs_oa_9080,/Common/11.8.8.242:9080,tcp,/Common/tcp-oa
/Common/11.8.8.235:9080,/Common/pool_oa_9080,/Common/tcp,/Common/vs_oa_9080,/Common/11.8.8.242:9080,tcp,/Common/tcp-oa
/Common/11.8.8.175:9080,/Common/pool_scdm_9080,/Common/tcp,/Common/vs_scdm_9080,/Common/11.8.8.179:9080,tcp,/Common/http
/Common/11.8.8.176:9080,/Common/pool_scdm_9080,/Common/tcp,/Common/vs_scdm_9080,/Common/11.8.8.179:9080,tcp,/Common/http
/Common/11.8.8.162:9080,/Common/rwmsapp-9080,/Common/http,/Common/vs-rwmsapp-9080,/Common/11.8.8.164:9080,tcp,/Common/fasthttp
/Common/11.8.8.163:9080,/Common/rwmsapp-9080,/Common/http,/Common/vs-rwmsapp-9080,/Common/11.8.8.164:9080,tcp,/Common/fasthttp
