Name_Virture,Name_Pool ,Destination,Protocol,Profiles
,pools,10.8.10.154:9084,tcp,{
VS_AGENT_GXP_ZX,pool_AGENT_GXP_ZX,10.8.9.80:50000,tcp,{
VS_AGENT_GXP_ZX_2,pool_AGENT_GXP_ZX2,10.8.9.80:60000,tcp,{
VS_CNAPP,Pool_CNAPP,10.8.9.64:50001,tcp,fastL4
VS_CNWAS,Pool_CNWAS,10.8.9.65:glrpc,tcp,fastL4
VS_Cardfr,Pool_Cardfr,10.8.5.48:20086,tcp,fastL4
VS_ESSC5_12363,Pool_essc5_12363,10.8.5.68:12363,tcp,fastL4
VS_FaxServer_5060,Pool_FaxServer_5060,10.8.10.50:sip,tcp,fastL4
VS_FaxServer_5061,Pool_FaxServer_5061,10.8.10.50:sip-tls,tcp,fastL4
VS_FaxServer_80,Pool_FaxServer_80,10.8.10.50:http,tcp,fastL4
VS_FaxServer_8192,Pool_FaxServer_8192,10.8.10.50:8192,tcp,fastL4
VS_GACX_50008,pool_GACX_50008,10.8.9.80:50008,tcp,fastL4
VS_GXP,pool_GXP,10.8.9.80:any,tcp,fastL4
VS_GXP-XL-50007,Pool-GXP-XL,10.8.9.80:50007,tcp,fastL4
VS_GXP_10032,pool_GXP_10032,10.8.9.80:10032,tcp,fastL4
VS_GXP_50001,pool_GXP_50001,10.8.9.80:50001,tcp,fastL4
VS_GXP_50002,pool_GXP_50002,10.8.9.80:50002,tcp,fastL4
VS_GXP_50003,pool_GXP_50003,10.8.9.80:50003,tcp,fastL4
VS_GXP_50004,pool_GXP_50004,10.8.9.80:50004,tcp,fastL4
VS_GXP_50005,pool_GXP_50005,10.8.9.80:50005,tcp,fastL4
VS_GXP_50006,pool_GXP_50006,10.8.9.80:50006,tcp,fastL4
VS_GXP_50009,pool_GXP_50009,10.8.9.80:50009,tcp,fastL4
VS_GXP_50010,pool_GXP_50010,10.8.9.80:50010,tcp,fastL4
VS_GXP_50011,pool_GXP_50011,10.8.9.80:50011,tcp,fastL4
VS_GXP_50021,pool_GXP_50021,10.8.9.80:50021,tcp,fastL4
VS_GXP_50022,pool_GXP_50022,10.8.9.80:50022,tcp,fastL4
VS_GXP_50023,pool_GXP_50023,10.8.9.80:50023,tcp,fastL4
VS_GXP_50026,pool_GXP_50026,10.8.9.80:50026,tcp,fastL4
VS_GXP_50042,pool_GXP_50042,10.8.9.80:50042,tcp,fastL4
VS_GXP_50048,pool_GXP_50048,10.8.9.80:50048,tcp,fastL4
VS_GXP_50052,pool_GXP_50052,10.8.9.80:50052,tcp,fastL4
VS_GXP_50055,pool_GXP_50055,10.8.9.80:50055,tcp,fastL4
VS_GXP_50058,Pool_GXP_50058,10.8.9.80:50058,tcp,fastL4
VS_GXP_50060,pool_GXP_50060,10.8.9.80:50060,tcp,fastL4
VS_GXP_50067,pool_GXP_50067,10.8.9.80:50067,tcp,fastL4
VS_GXP_50068,pool_GXP_50068,10.8.9.80:50068,tcp,fastL4
VS_GXP_50072,pool_GXP_50072,10.8.9.80:50072,tcp,fastL4
VS_GXP_50074,pool_GXP_50074,10.8.9.80:50074,tcp,fastL4
VS_GXP_50076,pool_AGENT_GXP_ZX_50076,10.8.9.80:50076,tcp,fastL4
VS_GXP_50108,pool_GXP_50108,10.8.9.80:50108,tcp,fastL4
VS_GXP_50109,pool_GXP_50109,10.8.9.80:50109,tcp,fastL4
VS_GXP_60012,pool_GXP_60012,10.8.9.80:60012,tcp,fastL4
VS_GXP_60013,pool_GXP_60013,10.8.9.80:60013,tcp,fasthttp
VS_GXP_60019,pool_GXP_60019,10.8.9.80:60019,tcp,fasthttp
VS_GXP_60035,pool_GXP_60035,10.8.9.80:60035,tcp,fasthttp
VS_GXP_60036,pool_GXP_60036,10.8.9.80:60036,tcp,fasthttp
VS_GXP_60038,pool_GXP_60038,10.8.9.80:60038,tcp,fasthttp
VS_GXP_60039,pool_GXP_60039,10.8.9.80:60039,tcp,fasthttp
VS_GXP_60045,pool_GXP_60045,10.8.9.80:60045,tcp,fasthttp
VS_GXP_CZ,pool_GXP_CZ,10.8.9.91:any,tcp,fasthttp
VS_GXP_CZ_50000,pool_GXP_CZ_50000,10.8.9.91:50000,tcp,fasthttp
VS_GXP_CZ_50001,pool_GXP_CZ_50001,10.8.9.91:50001,tcp,fasthttp
VS_GXP_CZ_50002,pool_GXP_CZ_50002,10.8.9.91:50002,tcp,fasthttp
VS_GXP_CZ_50003,pool_GXP_CZ_50003,10.8.9.91:50003,tcp,fasthttp
VS_GXP_CZ_50004,pool_GXP_CZ_50004,10.8.9.91:50004,tcp,fasthttp
VS_GXP_CZ_50005,pool_GXP_CZ_50005,10.8.9.91:50005,tcp,fasthttp
VS_GXP_CZ_50006,pool_GXP_CZ_50006,10.8.9.91:50006,tcp,fasthttp
VS_GXP_CZ_50007,pool_GXP_CZ_50007,10.8.9.91:50007,tcp,fasthttp
VS_GXP_CZ_50008,pool_GXP_CZ_50008,10.8.9.91:50008,tcp,fasthttp
VS_GXP_CZ_50009,pool_GXP_CZ_50009,10.8.9.91:50009,tcp,fasthttp
VS_GXP_CZ_50010,pool_GXP_CZ_50010,10.8.9.91:50010,tcp,fasthttp
VS_GXP_CZ_FTP,pool_GXP_CZ_FTP,10.8.9.91:ftp,tcp,fasthttp
VS_GXP_CZ_SSH,pool_GXP_CZ_SSH,10.8.9.91:ssh,tcp,fasthttp
VS_GXP_FTP,pool_GXP_FTP,10.8.9.80:ftp,tcp,fasthttp
VS_GXP_MQ_9009,pool_GXP_MQ_9009,10.8.9.80:pichat,tcp,fasthttp
VS_GXP_SSH,pool_GXP_SSH,10.8.9.80:ssh,tcp,fasthttp
VS_GXP_TIPS_50013,pool_GXP_TIPS_50013,10.8.9.80:50013,tcp,fasthttp
VS_GXP_TIPS_50014,pool_GXP_TIPS_50014,10.8.9.80:50014,tcp,fasthttp
VS_GXP_TIPS_50015,pool_GXP_TIPS_50015,10.8.9.80:50015,tcp,fasthttp
VS_GXP_TIPS_50016,pool_GXP_TIPS_50016,10.8.9.80:50016,tcp,fasthttp
VS_GXP_TIPS_50017,pool_GXP_TIPS_50017,10.8.9.80:50017,tcp,fasthttp
VS_GXP_TIPS_50018,pool_GXP_TIPS_50018,10.8.9.80:50018,tcp,fasthttp
VS_GXP_ZX_50098,pool_GXP_ZX_50098,10.8.9.80:50098,tcp,fasthttp
VS_GXP_ZX_60006,pool_GXP_ZX_60006,10.8.9.80:60006,tcp,fasthttp
VS_GXP_ZX_60007,pool_GXP_ZX_60007,10.8.9.80:60007,tcp,fasthttp
VS_GXP_ZX_60008,pool_GXP_ZX_60008,10.8.9.80:60008,tcp,fasthttp
VS_GXP_ZX_60009,pool_GXP_ZX_60009,10.8.9.80:60009,tcp,fasthttp
VS_GXP_ZX_60010,pool_GXP_ZX_60010,10.8.9.80:60010,tcp,fasthttp
VS_GXP_ZX_60040,pool_GXP_ZX_60040,10.8.9.80:60040,tcp,fasthttp
VS_GXP_ZX_60043,pool_GXP_ZX_60043,10.8.9.80:60043,tcp,fasthttp
VS_Mimis_app_8080,pool_mimis_app,10.8.9.146:webcache,tcp,fasthttp
VS_NCQS_9080,Pool_NCQS_9080,11.8.10.34:glrpc,tcp,fasthttp
VS_Outbound_Any,Pool_NCQS_9080,any:any,tcp,forwarding
VS_RSSever_9080,Pool_RSSever_9080,10.8.10.35:glrpc,tcp,fasthttp
VS_RgsApp,Pool_rgsApp,10.8.9.71:glrpc,tcp,fasthttp
VS_RgsApp_10443,Pool_rgsApp_10443,10.8.9.71:10443,tcp,fasthttp
VS_RgsApp_15001,Pool_rgsApp_15001,10.8.9.71:15001,tcp,fasthttp
VS_RgsApp_16001,Pool_rgsApp_16001,10.8.9.71:16001,tcp,fasthttp
VS_RgsApp_17001,Pool_rgsApp_17001-L,10.8.9.71:17001,tcp,tcp-nevertimeout
VS_RgsApp_21,Pool_rgsApp_21,10.8.9.71:ftp,tcp,tcp-nevertimeout
VS_RgsApp_9081,Pool_rgsApp_9081,10.8.9.71:9081,tcp,tcp-nevertimeout
VS_RgsApp_9082,Pool_rgsApp_9082,10.8.9.71:9082,tcp,tcp-nevertimeout
VS_RgsApp_9443,Pool_rgsApp_9443,10.8.9.71:9443,tcp,tcp-nevertimeout
VS_RgsApp_9444,Pool_rgsApp_9444,10.8.9.71:9444,tcp,tcp-nevertimeout
VS_RgsApp_9445,Pool_rgsApp_9445,10.8.9.71:9445,tcp,tcp-nevertimeout
VS_Wld_8887,Pool_wld_8887,10.8.9.130:8887,tcp,tcp-nevertimeout
VS_YinLian_zhifubao_8080,Pool_YinLian_zhifubao_80,10.8.9.158:webcache,tcp,tcp-nevertimeout
VS_YinLian_zweixin_80,Pool_YinLian_weixin_80,10.8.9.158:http,tcp,tcp-nevertimeout
VS_crqapp,Pool_crqapp,11.8.10.25:glrpc,tcp,fasthttp
VS_crqapp_19080,Pool_crqapp_19080,11.8.10.25:19080,tcp,fasthttp
VS_cxgzapp_13868,Pool_cxgzapp_13868,10.8.9.116:13868,tcp,fasthttp
VS_dxzp_8000,Pool_dxzp_8000,10.8.9.99:irdmi,tcp,fastL4
VS_dxzp_8001,Pool_dxzp_8001,10.8.9.99:vcom-tunnel,tcp,fastL4
VS_dxzp_8080,Pool_dxzp_8080,10.8.9.99:webcache,tcp,fastL4
VS_fagentapp_9080,Pool_fagentapp_9080,10.8.9.135:glrpc,tcp,fastL4
VS_tsmp_21003,Pool_tsmp_21003,10.8.5.97:21003,tcp,fastL4
VS_tsmp_21004,Pool_tsmp_21004,10.8.5.97:21004,tcp,fastL4
VS_tsmp_21005,Pool_tsmp_21005,10.8.5.97:21005,tcp,fastL4
VS_tsmp_21006,Pool_tsmp_21006,10.8.5.97:21006,tcp,fastL4
VS_tsmp_21009,Pool_tsmp_21009,10.8.5.97:21009,tcp,fastL4
VS_tsmp_21011,Pool_tsmp_21011,10.8.5.97:21011,tcp,fastL4
VS_tsmp_21012,Pool_tsmp_21012,10.8.5.97:21012,tcp,fastL4
VS_tsmp_22001,Pool_tsmp_22001,10.8.5.97:optocontrol,tcp,fastL4
VS_wkzh_svs_50001,Pool_wkzh_svs_50001,10.8.5.73:50001,tcp,fastL4
VS_wl_ssl_443,pool_wl_ssl_443,10.8.5.76:https,tcp,fastL4
VS_wl_ssl_5444,pool_wl_ssl_5444,10.8.5.76:5444,tcp,fastL4
VS_wl_ssl_6444,pool_wl_ssl_6444,10.8.5.76:6444,tcp,fastL4
VS_wl_svs_50000,Pool_wl_svs_50000,10.8.5.73:50000,tcp,fastL4
VS_wyhl_6003,Pool_wyhl_6003,10.8.9.100:6003,tcp,fastL4
VS_xasj_app_50007,Pool_xasj-app_50007,10.8.9.109:50007,tcp,fastL4
VS_xasj_app_50008,Pool_xasj-app_50008,10.8.9.109:50008,tcp,fastL4
VS_xasj_app_50009,Pool_xasj-app_50009,10.8.9.109:50009,tcp,fastL4
VS_xdcz_9080,Pool_xdcz_9080,10.8.9.94:glrpc,tcp,forwarding
VS_xykpf_7980,Pool_xykpf_7980,10.8.5.95:quest-vista,tcp,forwarding
VS_xykpf_9080,Pool_xykpf_9080,10.8.5.95:glrpc,tcp,forwarding
VS_xykzdhsp_9080,Pool_xykzdhsp_9099,10.8.5.82:glrpc,tcp,fasthttp-X-Forwarded
VS_xykzdhsp_9084,Pool_xykzdhsp_9084,10.8.5.82:9084,tcp,fasthttp-X-Forwarded
VS_xykzdhsp_9099,Pool_xykzdhsp_9099,10.8.5.82:9099,tcp,fasthttp
VS_zfgxp_out_10000,Pool_zfgxp_out_10000,10.8.5.79:ndmp,tcp,fasthttp
VS_zfgxp_out_22,Pool_zfgxp_out_22,10.8.5.79:ssh,tcp,fasthttp
VS_zfgxp_out_50028,Pool_zfgxp_out_50028,10.8.5.79:50028,tcp,fasthttp
