IP_Member,Name_Pool ,Name_Monitor
10.8.9.87:50007,Pool-GXP-XL,tcp
10.8.9.88:50007,Pool-GXP-XL,tcp
10.8.9.54:50001,Pool_CNAPP,TCP_CNAPP
10.8.9.55:50001,Pool_CNAPP,TCP_CNAPP
10.8.9.56:glrpc,Pool_CNWAS,HTTP_CNWAS
10.8.9.57:glrpc,Pool_CNWAS,HTTP_CNWAS
10.8.5.49:20086,Pool_Cardfr,Cardfrsd
10.8.5.50:20086,Pool_Cardfr,Cardfrsd
10.8.10.37:sip,Pool_FaxServer_5060,tcp
10.8.10.38:sip,Pool_FaxServer_5060,tcp
10.8.10.37:sip-tls,Pool_FaxServer_5061,tcp
10.8.10.38:sip-tls,Pool_FaxServer_5061,tcp
10.8.10.37:http,Pool_FaxServer_80,tcp
10.8.10.38:http,Pool_FaxServer_80,tcp
10.8.10.37:8192,Pool_FaxServer_8192,tcp
10.8.10.38:8192,Pool_FaxServer_8192,tcp
10.8.9.87:50058,Pool_GXP_50058,agent_mon_tcp_10000
10.8.9.88:50058,Pool_GXP_50058,agent_mon_tcp_10000
11.8.10.32:glrpc,Pool_NCQS_9080,tcp
11.8.10.33:glrpc,Pool_NCQS_9080,tcp
10.8.10.28:glrpc,Pool_RSSever_9080,tcp
10.8.10.29:glrpc,Pool_RSSever_9080,tcp
9.234.56.11:http,Pool_YinLian_weixin_80,http_10s
9.234.156.11:http,Pool_YinLian_weixin_80,http_10s
9.234.55.11:http,Pool_YinLian_zhifubao_80,http_10s
9.234.155.11:http,Pool_YinLian_zhifubao_80,http_10s
10.8.5.55:48006,Pool_cardHx_48006,cardHX
10.8.5.56:48006,Pool_cardHx_48006,cardHX
11.8.10.23:19080,Pool_crqapp,tcp
11.8.10.24:19080,Pool_crqapp,tcp
10.8.9.114:13868,Pool_cxgzapp_13868,tcp
10.8.9.115:13868,Pool_cxgzapp_13868,tcp
10.8.10.72:webcache,Pool_dxtApp,tcp
10.8.10.73:webcache,Pool_dxtApp,tcp
10.8.9.97:irdmi,Pool_dxzp_8000,tcp
10.8.9.98:irdmi,Pool_dxzp_8000,tcp
10.8.9.97:vcom-tunnel,Pool_dxzp_8001,tcp
10.8.9.98:vcom-tunnel,Pool_dxzp_8001,tcp
10.8.9.97:webcache,Pool_dxzp_8080,tcp
10.8.9.98:webcache,Pool_dxzp_8080,tcp
10.8.5.63:12363,Pool_essc5_12363,essc5-mon-20180912
10.8.5.64:12363,Pool_essc5_12363,essc5-mon-20180912
10.8.9.133:glrpc,Pool_fagentapp_9080,tcp
10.8.9.134:glrpc,Pool_fagentapp_9080,tcp
10.8.9.72:glrpc,Pool_rgsApp,tcp
10.8.9.73:glrpc,Pool_rgsApp,tcp
10.8.9.72:10443,Pool_rgsApp_10443,tcp
10.8.9.73:10443,Pool_rgsApp_10443,tcp
10.8.9.72:15001,Pool_rgsApp_15001,tcp
10.8.9.73:15001,Pool_rgsApp_15001,tcp
10.8.9.72:16001,Pool_rgsApp_16001,tcp
10.8.9.73:16001,Pool_rgsApp_16001,tcp
10.8.9.72:17001,Pool_rgsApp_17001-L,tcp
10.8.9.73:17001,Pool_rgsApp_17001-L,tcp
10.8.9.72:ftp,Pool_rgsApp_21,tcp
10.8.9.73:ftp,Pool_rgsApp_21,tcp
10.8.9.72:9081,Pool_rgsApp_9081,tcp
10.8.9.73:9081,Pool_rgsApp_9081,tcp
10.8.9.72:9082,Pool_rgsApp_9082,tcp
10.8.9.73:9082,Pool_rgsApp_9082,tcp
10.8.9.72:9443,Pool_rgsApp_9443,tcp
10.8.9.73:9443,Pool_rgsApp_9443,tcp
10.8.9.72:9444,Pool_rgsApp_9444,tcp
10.8.9.73:9444,Pool_rgsApp_9444,tcp
10.8.9.72:9445,Pool_rgsApp_9445,tcp
10.8.9.73:9445,Pool_rgsApp_9445,tcp
10.8.5.45:21003,Pool_tsmp_21003,tcp
10.8.5.96:21003,Pool_tsmp_21003,tcp
10.8.5.45:21004,Pool_tsmp_21004,tcp
10.8.5.96:21004,Pool_tsmp_21004,tcp
10.8.5.45:21005,Pool_tsmp_21005,tcp
10.8.5.96:21005,Pool_tsmp_21005,tcp
10.8.5.45:21006,Pool_tsmp_21006,tcp
10.8.5.96:21006,Pool_tsmp_21006,tcp
10.8.5.45:21009,Pool_tsmp_21009,tcp
10.8.5.96:21009,Pool_tsmp_21009,tcp
10.8.5.45:21011,Pool_tsmp_21011,tcp
10.8.5.96:21011,Pool_tsmp_21011,tcp
10.8.5.45:21012,Pool_tsmp_21012,tcp
10.8.5.96:21012,Pool_tsmp_21012,tcp
10.8.5.45:optocontrol,Pool_tsmp_22001,tcp
10.8.5.96:optocontrol,Pool_tsmp_22001,tcp
10.8.5.71:50001,Pool_wkzh_svs_50001,tcp
10.8.5.72:50001,Pool_wkzh_svs_50001,tcp
10.8.5.71:50000,Pool_wl_svs_50000,tcp
10.8.5.72:50000,Pool_wl_svs_50000,tcp
10.8.9.128:8887,Pool_wld_8887,tcp
10.8.9.129:8887,Pool_wld_8887,tcp
10.8.9.101:6003,Pool_wyhl_6003,wyhl
10.8.9.102:6003,Pool_wyhl_6003,wyhl
10.8.9.110:50007,Pool_xasj-app_50007,tcp
10.8.9.111:50007,Pool_xasj-app_50007,tcp
10.8.9.110:50008,Pool_xasj-app_50008,tcp
10.8.9.111:50008,Pool_xasj-app_50008,tcp
10.8.9.110:50009,Pool_xasj-app_50009,tcp
10.8.9.111:50009,Pool_xasj-app_50009,tcp
10.8.9.92:glrpc,Pool_xdcz_9080,tcp
10.8.9.93:glrpc,Pool_xdcz_9080,tcp
10.8.5.87:quest-vista,Pool_xykpf_7980,tcp
10.8.5.88:quest-vista,Pool_xykpf_7980,tcp
10.8.5.90:glrpc,Pool_xykpf_9080,tcp
10.8.5.91:glrpc,Pool_xykpf_9080,tcp
10.8.5.80:glrpc,Pool_xykzdhsp_9084,tcp
10.8.5.81:glrpc,Pool_xykzdhsp_9084,tcp
10.8.5.80:glrpc,Pool_xykzdhsp_9099,tcp
10.8.5.81:glrpc,Pool_xykzdhsp_9099,tcp
10.8.5.77:ndmp,Pool_zfgxp_out_10000,tcp
10.8.5.78:ndmp,Pool_zfgxp_out_10000,tcp
10.8.5.77:ssh,Pool_zfgxp_out_22,tcp
10.8.5.78:ssh,Pool_zfgxp_out_22,tcp
10.8.5.77:50028,Pool_zfgxp_out_50028,tcp
10.8.5.78:50028,Pool_zfgxp_out_50028,tcp
10.8.5.77:50029,Pool_zfgxp_out_50029,tcp
10.8.5.78:50029,Pool_zfgxp_out_50029,tcp
10.8.5.77:60015,Pool_zfgxp_out_60015,tcp
10.8.5.78:60015,Pool_zfgxp_out_60015,tcp
10.8.5.77:60016,Pool_zfgxp_out_60016,tcp
10.8.5.78:60016,Pool_zfgxp_out_60016,tcp
10.8.5.77:60017,Pool_zfgxp_out_60017,tcp
10.8.5.78:60017,Pool_zfgxp_out_60017,tcp
10.8.5.77:60029,Pool_zfgxp_out_60029,tcp
10.8.5.78:60029,Pool_zfgxp_out_60029,tcp
10.8.5.77:ftp,Pool_zfgxp_out_FTP,tcp
10.8.5.78:ftp,Pool_zfgxp_out_FTP,tcp
10.8.9.78:50097,Pool_zxgxp_50097,tcp
10.8.9.1:any,VLAN101_GW,gateway_icmp
10.8.5.1:any,VLAN102_GW,gateway_icmp
10.8.10.1:any,VLAN103_GW,gateway_icmp
10.8.11.1:any,VLAN104_GW,gateway_icmp
10.8.12.1:any,VLAN105_GW,gateway_icmp
11.8.10.1:any,VLAN106_GW,gateway_icmp
10.8.9.78:50000,pool_AGENT_GXP_ZX,tcp
10.8.9.79:50000,pool_AGENT_GXP_ZX,tcp
10.8.9.78:60000,pool_AGENT_GXP_ZX2,tcp
10.8.9.79:60000,pool_AGENT_GXP_ZX2,tcp
10.8.9.78:50076,pool_AGENT_GXP_ZX_50076,tcp
10.8.9.79:50076,pool_AGENT_GXP_ZX_50076,tcp
10.8.9.78:50008,pool_GACX_50008,tcp
10.8.9.79:50008,pool_GACX_50008,tcp
10.8.9.78:any,pool_GXP,gateway_icmp
10.8.9.79:any,pool_GXP,gateway_icmp
10.8.9.78:10032,pool_GXP_10032,agent_mon_tcp_10000
10.8.9.79:10032,pool_GXP_10032,agent_mon_tcp_10000
10.8.9.78:50001,pool_GXP_50001,tcp
10.8.9.79:50001,pool_GXP_50001,tcp
10.8.9.78:50002,pool_GXP_50002,tcp
10.8.9.79:50002,pool_GXP_50002,tcp
10.8.9.78:50003,pool_GXP_50003,tcp
10.8.9.79:50003,pool_GXP_50003,tcp
10.8.9.78:50004,pool_GXP_50004,tcp
10.8.9.79:50004,pool_GXP_50004,tcp
10.8.9.78:50005,pool_GXP_50005,tcp
10.8.9.79:50005,pool_GXP_50005,tcp
10.8.9.78:50006,pool_GXP_50006,tcp
10.8.9.79:50006,pool_GXP_50006,tcp
10.8.9.78:50009,pool_GXP_50009,tcp
10.8.9.79:50009,pool_GXP_50009,tcp
10.8.9.78:50010,pool_GXP_50010,tcp
10.8.9.79:50010,pool_GXP_50010,tcp
10.8.9.78:50011,pool_GXP_50011,agent_mon_tcp_10000
10.8.9.79:50011,pool_GXP_50011,agent_mon_tcp_10000
10.8.9.78:50021,pool_GXP_50021,agent_mon_tcp_10000
10.8.9.79:50021,pool_GXP_50021,agent_mon_tcp_10000
10.8.9.78:50022,pool_GXP_50022,agent_mon_tcp_10000
10.8.9.79:50022,pool_GXP_50022,agent_mon_tcp_10000
10.8.9.78:50023,pool_GXP_50023,agent_mon_tcp_10000
10.8.9.79:50023,pool_GXP_50023,agent_mon_tcp_10000
10.8.9.78:50026,pool_GXP_50026,agent_mon_tcp_10000
10.8.9.79:50026,pool_GXP_50026,agent_mon_tcp_10000
10.8.9.78:50042,pool_GXP_50042,agent_mon_tcp_10000
10.8.9.79:50042,pool_GXP_50042,agent_mon_tcp_10000
10.8.9.78:50048,pool_GXP_50048,agent_mon_tcp_10000
10.8.9.79:50048,pool_GXP_50048,agent_mon_tcp_10000
10.8.9.78:50052,pool_GXP_50052,agent_mon_tcp_10000
10.8.9.79:50052,pool_GXP_50052,agent_mon_tcp_10000
10.8.9.78:50055,pool_GXP_50055,agent_mon_tcp_10000
10.8.9.79:50055,pool_GXP_50055,agent_mon_tcp_10000
10.8.9.78:50060,pool_GXP_50060,agent_mon_tcp_10000
10.8.9.79:50060,pool_GXP_50060,agent_mon_tcp_10000
10.8.9.78:50067,pool_GXP_50067,agent_mon_tcp_10000
10.8.9.79:50067,pool_GXP_50067,agent_mon_tcp_10000
10.8.9.78:50068,pool_GXP_50068,agent_mon_tcp_10000
10.8.9.79:50068,pool_GXP_50068,agent_mon_tcp_10000
10.8.9.78:50072,pool_GXP_50072,agent_mon_tcp_10000
10.8.9.79:50072,pool_GXP_50072,agent_mon_tcp_10000
10.8.9.78:50074,pool_GXP_50074,agent_mon_tcp_10000
10.8.9.79:50074,pool_GXP_50074,agent_mon_tcp_10000
10.8.9.78:50108,pool_GXP_50108,tcp
10.8.9.79:50108,pool_GXP_50108,tcp
10.8.9.78:60012,pool_GXP_60012,agent_mon_tcp_10000
10.8.9.79:60012,pool_GXP_60012,agent_mon_tcp_10000
10.8.9.78:60013,pool_GXP_60013,tcp
10.8.9.79:60013,pool_GXP_60013,tcp
10.8.9.78:60019,pool_GXP_60019,agent_mon_tcp_10000
10.8.9.79:60019,pool_GXP_60019,agent_mon_tcp_10000
10.8.9.78:60035,pool_GXP_60035,agent_mon_tcp_10000
10.8.9.79:60035,pool_GXP_60035,agent_mon_tcp_10000
10.8.9.78:60036,pool_GXP_60036,agent_mon_tcp_10000
10.8.9.79:60036,pool_GXP_60036,agent_mon_tcp_10000
10.8.9.78:60038,pool_GXP_60038,tcp
10.8.9.79:60038,pool_GXP_60038,tcp
10.8.9.78:60039,pool_GXP_60039,tcp
10.8.9.79:60039,pool_GXP_60039,tcp
10.8.9.78:60045,pool_GXP_60045,agent_mon_tcp_10000
10.8.9.79:60045,pool_GXP_60045,agent_mon_tcp_10000
10.8.9.89:any,pool_GXP_CZ,gateway_icmp
10.8.9.90:any,pool_GXP_CZ,gateway_icmp
10.8.9.89:50000,pool_GXP_CZ_50000,tcp
10.8.9.90:50000,pool_GXP_CZ_50000,tcp
10.8.9.89:50001,pool_GXP_CZ_50001,tcp
10.8.9.90:50001,pool_GXP_CZ_50001,tcp
10.8.9.89:50002,pool_GXP_CZ_50002,tcp
10.8.9.90:50002,pool_GXP_CZ_50002,tcp
10.8.9.89:50003,pool_GXP_CZ_50003,tcp
10.8.9.90:50003,pool_GXP_CZ_50003,tcp
10.8.9.89:50004,pool_GXP_CZ_50004,tcp
10.8.9.90:50004,pool_GXP_CZ_50004,tcp
10.8.9.89:50005,pool_GXP_CZ_50005,tcp
10.8.9.90:50005,pool_GXP_CZ_50005,tcp
10.8.9.89:50006,pool_GXP_CZ_50006,tcp
10.8.9.90:50006,pool_GXP_CZ_50006,tcp
10.8.9.89:50007,pool_GXP_CZ_50007,tcp
10.8.9.90:50007,pool_GXP_CZ_50007,tcp
10.8.9.89:50008,pool_GXP_CZ_50008,tcp
10.8.9.90:50008,pool_GXP_CZ_50008,tcp
10.8.9.89:50009,pool_GXP_CZ_50009,tcp
10.8.9.90:50009,pool_GXP_CZ_50009,tcp
10.8.9.89:50010,pool_GXP_CZ_50010,tcp
10.8.9.90:50010,pool_GXP_CZ_50010,tcp
10.8.9.89:ftp,pool_GXP_CZ_FTP,tcp
10.8.9.90:ftp,pool_GXP_CZ_FTP,tcp
10.8.9.89:ssh,pool_GXP_CZ_SSH,tcp
10.8.9.90:ssh,pool_GXP_CZ_SSH,tcp
10.8.9.78:ftp,pool_GXP_FTP,tcp
10.8.9.79:ftp,pool_GXP_FTP,tcp
10.8.9.78:pichat,pool_GXP_MQ_9009,tcp
10.8.9.79:pichat,pool_GXP_MQ_9009,tcp
10.8.9.78:ssh,pool_GXP_SSH,tcp
10.8.9.79:ssh,pool_GXP_SSH,tcp
10.8.9.78:50013,pool_GXP_TIPS_50013,tcp
10.8.9.79:50013,pool_GXP_TIPS_50013,tcp
10.8.9.78:50014,pool_GXP_TIPS_50014,tcp
10.8.9.79:50014,pool_GXP_TIPS_50014,tcp
10.8.9.78:50015,pool_GXP_TIPS_50015,tcp
10.8.9.79:50015,pool_GXP_TIPS_50015,tcp
10.8.9.78:50016,pool_GXP_TIPS_50016,agent_mon_tcp_10000
10.8.9.79:50016,pool_GXP_TIPS_50016,agent_mon_tcp_10000
10.8.9.78:50017,pool_GXP_TIPS_50017,tcp
10.8.9.79:50017,pool_GXP_TIPS_50017,tcp
10.8.9.78:50018,pool_GXP_TIPS_50018,tcp
10.8.9.79:50018,pool_GXP_TIPS_50018,tcp
10.8.9.78:50098,pool_GXP_ZX_50098,agent_mon_tcp_10000
10.8.9.79:50098,pool_GXP_ZX_50098,agent_mon_tcp_10000
10.8.9.78:60006,pool_GXP_ZX_60006,tcp
10.8.9.79:60006,pool_GXP_ZX_60006,tcp
10.8.9.78:60007,pool_GXP_ZX_60007,tcp
10.8.9.79:60007,pool_GXP_ZX_60007,tcp
10.8.9.78:60008,pool_GXP_ZX_60008,tcp
10.8.9.79:60008,pool_GXP_ZX_60008,tcp
10.8.9.78:60009,pool_GXP_ZX_60009,tcp
