IP_Member,Name_Pool ,Name_Monitor,Name_Virture,Destination,Protocol,Profiles
10.8.9.87:50007,Pool-GXP-XL,tcp,VS_GXP-XL-50007,10.8.9.80:50007,tcp,fastL4
10.8.9.88:50007,Pool-GXP-XL,tcp,VS_GXP-XL-50007,10.8.9.80:50007,tcp,fastL4
10.8.9.54:50001,Pool_CNAPP,TCP_CNAPP,VS_CNAPP,10.8.9.64:50001,tcp,fastL4
10.8.9.55:50001,Pool_CNAPP,TCP_CNAPP,VS_CNAPP,10.8.9.64:50001,tcp,fastL4
10.8.9.56:glrpc,Pool_CNWAS,HTTP_CNWAS,VS_CNWAS,10.8.9.65:glrpc,tcp,fastL4
10.8.9.57:glrpc,Pool_CNWAS,HTTP_CNWAS,VS_CNWAS,10.8.9.65:glrpc,tcp,fastL4
10.8.5.49:20086,Pool_Cardfr,Cardfrsd,VS_Cardfr,10.8.5.48:20086,tcp,
10.8.5.50:20086,Pool_Cardfr,Cardfrsd,VS_Cardfr,10.8.5.48:20086,tcp,
10.8.10.37:sip,Pool_FaxServer_5060,tcp,VS_FaxServer_5060,10.8.10.50:sip,tcp,
10.8.10.38:sip,Pool_FaxServer_5060,tcp,VS_FaxServer_5060,10.8.10.50:sip,tcp,
10.8.10.37:sip-tls,Pool_FaxServer_5061,tcp,VS_FaxServer_5061,10.8.10.50:sip-tls,tcp,
10.8.10.38:sip-tls,Pool_FaxServer_5061,tcp,VS_FaxServer_5061,10.8.10.50:sip-tls,tcp,
10.8.10.37:http,Pool_FaxServer_80,tcp,VS_FaxServer_80,10.8.10.50:http,tcp,
10.8.10.38:http,Pool_FaxServer_80,tcp,VS_FaxServer_80,10.8.10.50:http,tcp,
10.8.10.37:8192,Pool_FaxServer_8192,tcp,VS_FaxServer_8192,10.8.10.50:8192,tcp,
10.8.10.38:8192,Pool_FaxServer_8192,tcp,VS_FaxServer_8192,10.8.10.50:8192,tcp,
10.8.9.87:50058,Pool_GXP_50058,agent_mon_tcp_10000,VS_GXP_50058,10.8.9.80:50058,tcp,
10.8.9.88:50058,Pool_GXP_50058,agent_mon_tcp_10000,VS_GXP_50058,10.8.9.80:50058,tcp,
11.8.10.32:glrpc,Pool_NCQS_9080,tcp,VS_NCQS_9080,11.8.10.34:glrpc,tcp,fasthttp
11.8.10.33:glrpc,Pool_NCQS_9080,tcp,VS_NCQS_9080,11.8.10.34:glrpc,tcp,fasthttp
10.8.10.28:glrpc,Pool_RSSever_9080,tcp,VS_RSSever_9080,10.8.10.35:glrpc,tcp,fasthttp
10.8.10.29:glrpc,Pool_RSSever_9080,tcp,VS_RSSever_9080,10.8.10.35:glrpc,tcp,fasthttp
9.234.56.11:http,Pool_YinLian_weixin_80,http_10s,VS_YinLian_zweixin_80,10.8.9.158:http,tcp,
9.234.156.11:http,Pool_YinLian_weixin_80,http_10s,VS_YinLian_zweixin_80,10.8.9.158:http,tcp,
9.234.55.11:http,Pool_YinLian_zhifubao_80,http_10s,VS_YinLian_zhifubao_8080,10.8.9.158:webcache,tcp,
9.234.155.11:http,Pool_YinLian_zhifubao_80,http_10s,VS_YinLian_zhifubao_8080,10.8.9.158:webcache,tcp,
10.8.5.55:48006,Pool_cardHx_48006,cardHX,vs_cardHx_48006,10.8.5.57:48006,tcp,
10.8.5.56:48006,Pool_cardHx_48006,cardHX,vs_cardHx_48006,10.8.5.57:48006,tcp,
11.8.10.23:glrpc,Pool_crqapp,tcp,VS_crqapp,11.8.10.25:glrpc,tcp,fasthttp
11.8.10.24:glrpc,Pool_crqapp,tcp,VS_crqapp,11.8.10.25:glrpc,tcp,fasthttp
11.8.10.23:19080,Pool_crqapp_19080,tcp,VS_crqapp_19080,11.8.10.25:19080,tcp,fasthttp
